city,pollutant_id,pollutant_min,pollutant_max
Ghaziabad,PM10,93.0,151.0
Gorakhpur,PM10,76.0,177.0
Greater Noida,PM10,118.0,221.0
Gummidipoondi,PM10,46.0,107.0
Gurugram,PM10,114.0,185.0
Guwahati,PM10,25.0,57.0
Gwalior,PM10,20.0,56.0
Hajipur,PM10,101.0,438.0
Haldia,PM10,14.0,86.0
Hanumangarh,PM10,67.0,409.0
Hassan,PM10,50.0,107.0
Hisar,PM10,78.0,112.0
Howrah,PM10,47.0,106.0
Hyderabad,PM10,35.0,76.0
Imphal,PM10,9.0,46.0
Indore,PM10,26.0,61.0
Jabalpur,PM10,40.0,77.0
Jaipur,PM10,62.0,102.0
Jaisalmer,PM10,43.0,121.0
Jalandhar,PM10,43.0,91.0
Jalgaon,PM10,84.0,185.0
Jalna,PM10,18.0,122.0
Jalore,PM10,45.0,186.0
Jhalawar,PM10,60.0,186.0
Jhansi,PM10,12.0,226.0
Jhunjhunu,PM10,47.0,132.0
Jind,PM10,60.0,110.0
Jodhpur,PM10,41.0,146.0
Kalaburagi,PM10,29.0,90.0
Kalyan,PM10,53.0,155.0
Kannur,PM10,61.0,106.0
Kanpur,PM10,26.0,161.0
Karauli,PM10,79.0,156.0
Karnal,PM10,66.0,95.0
Kashipur,PM10,78.0,137.0
Katihar,PM10,59.0,171.0
Katni,PM10,60.0,191.0
Keonjhar,PM10,86.0,149.0
Khanna,PM10,64.0,109.0
Khurja,PM10,40.0,134.0
Kishanganj,PM10,79.0,227.0
Kohima,PM10,59.0,124.0
Kolhapur,PM10,105.0,145.0
Kolkata,PM10,24.0,96.0
Koppal,PM10,14.0,37.0
Korba,PM10,33.0,102.0
Kota,PM10,24.0,104.0
Kurukshetra,PM10,73.0,119.0
Latur,PM10,33.0,76.0
Lucknow,PM10,14.0,171.0
Ludhiana,PM10,56.0,132.0
Madikeri,PM10,22.0,72.0
Maihar,PM10,35.0,64.0
Malegaon,PM10,103.0,253.0
Mandi Gobindgarh,PM10,90.0,402.0
Mandideep,PM10,60.0,132.0
Mandikhera,PM10,61.0,278.0
Manesar,PM10,73.0,166.0
Mangalore,PM10,56.0,170.0
Meerut,PM10,56.0,144.0
Milupara,PM10,46.0,164.0
Mira-Bhayandar,PM10,42.0,157.0
Moradabad,PM10,66.0,146.0
Motihari,PM10,31.0,111.0
Mumbai,PM10,22.0,59.0
Munger,PM10,91.0,266.0
Muzaffarnagar,PM10,131.0,193.0
Muzaffarpur,PM10,101.0,342.0
Mysuru,PM10,38.0,85.0
Nagaon,PM10,63.0,91.0
Nagaur,PM10,64.0,163.0
Nagpur,PM10,41.0,115.0
Nalbari,PM10,40.0,94.0
Nanded,PM10,32.0,102.0
Nandesari,PM10,84.0,382.0
Narnaul,PM10,45.0,108.0
Nashik,PM10,44.0,83.0
Navi Mumbai,PM10,43.0,114.0
Nayagarh,PM10,77.0,140.0
Noida,PM10,80.0,146.0
Pali,PM10,84.0,169.0
Palwal,PM10,64.0,229.0
Panipat,PM10,80.0,82.0
Parbhani,PM10,33.0,187.0
Patiala,PM10,62.0,108.0
Patna,PM10,114.0,197.0
Pimpri-Chinchwad,PM10,13.0,117.0
Pithampur,PM10,72.0,168.0
Pratapgarh,PM10,34.0,249.0
Prayagraj,PM10,53.0,122.0
Puducherry,PM10,4.0,36.0
Pune,PM10,14.0,65.0
Purnia,PM10,70.0,265.0
Raipur,PM10,21.0,57.0
Rairangpur,PM10,10.0,155.0
Rajamahendravaram,PM10,19.0,56.0
Rajgir,PM10,28.0,91.0
Rajsamand,PM10,10.0,58.0
Ramanagara,PM10,39.0,65.0
Ratlam,PM10,10.0,160.0
Rishikesh,PM10,10.0,500.0
Rourkela,PM10,86.0,148.0
Rupnagar,PM10,17.0,59.0
Sagar,PM10,12.0,73.0
Saharsa,PM10,104.0,169.0
Samastipur,PM10,58.0,159.0
Sangli,PM10,72.0,97.0
Sasaram,PM10,81.0,180.0
Satna,PM10,58.0,113.0
Sawai Madhopur,PM10,50.0,105.0
Shivamogga,PM10,52.0,69.0
Sikar,PM10,51.0,156.0
Silchar,PM10,27.0,55.0
Siliguri,PM10,49.0,98.0
Singrauli,PM10,113.0,437.0
Sirohi,PM10,14.0,61.0
Sirsa,PM10,36.0,97.0
Sivasagar,PM10,31.0,66.0
Solapur,PM10,57.0,105.0
Sonipat,PM10,106.0,106.0
Sri Ganganagar,PM10,100.0,185.0
Suakati,PM10,91.0,296.0
Surat,PM10,7.0,39.0
Talcher,PM10,104.0,276.0
Tensa,PM10,20.0,119.0
Thane,PM10,45.0,58.0
Thiruvananthapuram,PM10,18.0,60.0
Thoothukudi,PM10,38.0,175.0
Thrissur,PM10,61.0,69.0
Tirupati,PM10,55.0,125.0
Tonk,PM10,51.0,167.0
Tumakuru,PM10,113.0,450.0
Udaipur,PM10,40.0,103.0
Ulhasnagar,PM10,65.0,140.0
Vapi,PM10,41.0,93.0
Varanasi,PM10,10.0,48.0
Vatva,PM10,43.0,103.0
Vijayapura,PM10,41.0,43.0
Vijayawada,PM10,37.0,78.0
Virar,PM10,43.0,98.0
Visakhapatnam,PM10,62.0,136.0
Vrindavan,PM10,61.0,408.0
Yadgir,PM10,38.0,88.0
Yamuna Nagar,PM10,80.0,107.0
